StartNodeType,StartNode,RelationshipType,EndNode,EndNodeType
['Identity'],62,CONTAINS,软件,['Keyword']
['Identity'],62,CONTAINS,实习,['Keyword']
['Identity'],62,CONTAINS,应届毕业生,['Keyword']
['Identity'],62,CONTAINS,浏览器兼容,['Keyword']
['Identity'],62,CONTAINS,页面架构,['Keyword']
['Identity'],62,CONTAINS,设计,['Keyword']
['Identity'],62,CONTAINS,HTML,['Keyword']
['Identity'],62,CONTAINS,JavaScript,['Keyword']
['Identity'],62,CONTAINS,CSS,['Keyword']
['Identity'],63,CONTAINS,硬件,['Keyword']
['Identity'],63,CONTAINS,电路,['Keyword']
['Identity'],63,CONTAINS,设计,['Keyword']
['Identity'],63,CONTAINS,pcb电路焊接,['Keyword']
['Identity'],64,CONTAINS,软件,['Keyword']
['Identity'],64,CONTAINS,实习,['Keyword']
['Identity'],64,CONTAINS,设计,['Keyword']
['Identity'],64,CONTAINS,沟通,['Keyword']
['Identity'],64,CONTAINS,维护,['Keyword']
['Identity'],65,CONTAINS,C1驾驶证,['Keyword']
['Identity'],65,CONTAINS,报告,['Keyword']
['Identity'],65,CONTAINS,对接,['Keyword']
['Identity'],66,CONTAINS,计算机,['Keyword']
['Identity'],66,CONTAINS,软件,['Keyword']
['Identity'],66,CONTAINS,接口,['Keyword']
['Identity'],67,CONTAINS,前端,['Keyword']
['Identity'],67,CONTAINS,维护,['Keyword']
['Identity'],68,CONTAINS,计算机,['Keyword']
['Identity'],68,CONTAINS,前端,['Keyword']
['Identity'],68,CONTAINS,软件,['Keyword']
['Identity'],68,CONTAINS,沟通,['Keyword']
['Identity'],68,CONTAINS,JavaScript,['Keyword']
['Identity'],68,CONTAINS,CSS,['Keyword']
['Identity'],69,CONTAINS,数据库,['Keyword']
['Identity'],70,CONTAINS,软件,['Keyword']
['Identity'],70,CONTAINS,办公软件,['Keyword']
['Identity'],70,CONTAINS,工作经验,['Keyword']
['Identity'],70,CONTAINS,沟通,['Keyword']
['Identity'],72,CONTAINS,前端,['Keyword']
['Identity'],72,CONTAINS,实习,['Keyword']
['Identity'],72,CONTAINS,web,['Keyword']
['Identity'],72,CONTAINS,ps,['Keyword']
['Identity'],73,CONTAINS,前端,['Keyword']
['Identity'],73,CONTAINS,实习,['Keyword']
['Identity'],73,CONTAINS,设计,['Keyword']
['Identity'],74,CONTAINS,前端,['Keyword']
['Identity'],74,CONTAINS,实习,['Keyword']
['Identity'],74,CONTAINS,全栈,['Keyword']
['Identity'],75,CONTAINS,前端,['Keyword']
